id,label,statement,check_worthiness
9238.json,0,Says Charlie Crists campaign bashedSen. Bill Nelsons big-government solutions.,0.0
8738.json,0,Says the media created the term polar vortex and the cold air proves the ice isnt melting.,0.0
4725.json,0,They talk about this problem with binding arbitration. It doesnt make a lot of sense to me to have somebody from Los Angeles fly into Zanesville and impose a wage settlement on you ... and then theyre on the plane back to Los Angeles.,0.0
12831.json,0,"Says Hillary Clinton wrote,I believe the primary role of the state is to teach, train and raise children. Parents have a secondary role.",0.0
13082.json,0,I finished the controversyabout wherePresident Barack Obama was born.,0.0
10872.json,0,"Says Ted Cruz said: While there may have been an age difference, Josh Duggars transgressions are far less an affront to God than what gays do to each other.",0.0
933.json,0,"You and I know that in the history of mankind and womankind, government federal, state, local, or otherwise has never created one job.",0.0
4483.json,0,Says our taxes have doubled with Rick Perry in office.,0.0
12861.json,0,Im beating (Kelly Ayotte) in the polls by a lot.,0.0
10165.json,0,"If Cory Gardner gets his way, youd better stock up on condoms.",0.0
7948.json,0,"The immigration bill includes free Obamacars, motorcycles or scooters.",0.0
5737.json,0,I have always said that I would be for drilling.,0.0
10910.json,0,"If you care about the environment, weve got record funding.",0.0
6283.json,0,Says raising the state income tax rate on millionaires to offset property taxes for other residents is not a tax increase. Its a tax shift.,0.0
2595.json,0,Chris Coons has Marxist beliefs.,0.0
5879.json,0,Says that Rep. Betty Sutton would rather riot with Occupy (Wall Street) than stand up for Ohio families.,0.0
3173.json,0,"The city building code violations on my properties only involve exterior issues; within the households, its fine.",0.0
11835.json,0,This is the true picture of Milwaukees Renaissance after 12 years of Mayor Tom Barretts leadership.,0.0
11962.json,0,Says Ted Cruzsaid I was in favor in Libya. I never discussed that subject.,0.0
1591.json,0,"People ""can't go fishing anymore because of Obama.""",0.0
2730.json,0,Vows to keep Georgias race for governor civil and focused on the positive.,0.0
7549.json,0,Q: What do these Patriotic Americans have in common? A: They are all Draft Dodgers.,0.0
6286.json,0,Says its not accidental that the villain in the Batman movie is named Bane.,0.0
12839.json,0,"As usual, Hillary the Dems are trying to rig the debates so 2 are up against major NFL games.",0.0
4989.json,0,"After the debate that we had last week, PolitiFact came out and said that everything I said was true.",0.0
7925.json,0,The Foreign Intelligence Surveillance Court is transparent.,0.0
4562.json,0,Say water fluoridation started in Nazi Germany ghettos and death camps to pacify the Jews.,0.0
11164.json,0,The Mexican government ... they send the bad ones over.,0.0
2071.json,0,"We dont get a lot of calls from this White House I have, frankly, never had a call from them.",0.0
8088.json,0,I was banned from talking about Bill Ayers during the 2008 presidential campaign.,0.0
10353.json,0,Fox News airs Stuart Scott R.I.P. tribute with picture of Stephen A. Smith.,0.0
11645.json,0,"Technically, (Ted Cruz is) not even an American.",0.0
2424.json,0,"Ganley said that if elected, he wants to cut the dickens out of Social Security, Medicare and Veterans benefits.",0.0
1159.json,0,President Obama . . . wants to mandate circumcision.,0.0
2621.json,0,Rick Scott doesnt have any ties to a lobbyist.,0.0
3397.json,0,"Any child born prematurely, according to the president, in his own words, can be killed.",0.0
10960.json,0,"Says the California flag was supposed to be apear, not a bear.",0.0
8293.json,0,Obamacare will question your sex life.,0.0
5157.json,0,"When [Mitt Romney] was the governor of Massachusetts, he performed 100 and Im not sure this number is right, but my mind says its about 180 gay marriages.",0.0
1891.json,0,Georgia could get money for schools by scraping the gold off the gold dome of the state Capitol.,0.0
13071.json,0,My opponent has no child care plan.,0.0
6636.json,0,Says she was misquoted and didnt say that the Israeli ambassador said what the Republicans are doing is dangerous for Israel.,0.0
2160.json,0,We have my opponent Sam Olens to thank for [the Arizona immigration ruling] since he was on the team that got Clinton elected.,0.0
452.json,0,"Denies that he said the Obama campaign ""played the race card.""",0.0
9356.json,0,Obamacare is one big fat VA system.,0.0
8655.json,0,The Earth is not warming.,0.0
45.json,0,"Iowa, for good reason, for constitutional reasons, for reasons related to the Lord, should be the first caucus and primary.",0.0
11965.json,0,"A couple of debates ago, (Donald Trump) said if you dont support socialized health care, youre heartless.",0.0
10321.json,0,"Texas House Speaker Joe Straus said, I do not care if Wallace Hall swings from a tree.",0.0
12458.json,0,"I wanted to keep it private, because I dont think its anybodys business if I want to send money to the vets.",0.0
2504.json,0,Peter DeFazio will sneak in a 1 percent tax on all banking transactions.,0.0
11558.json,0,Obamacare isnt helping anyone.,0.0
9726.json,0,I havent really proposed (phasing out aid to Israel) in the past.,0.0
3940.json,0,Its just crazy that the government will ... make it illegal to use the old [incandescent] bulbs.,0.0
355.json,0,"RNC version of a Hillary Clinton valentine: ""Roses are red, violets are blue, I'll raise your taxes and there is nothing you can do.""",0.0
3888.json,0,I did not say that I would not have them [Muslims] in my Cabinet.,0.0
12765.json,0,"Unemployment numbers are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, its a total disaster.",0.0
1064.json,0,Says the Constitution only requires her to tell the census how many people are in our home.,0.0
11613.json,0,This incident of supposed feces depicting a swastika on the wall of a bathrooms in one of the halls ... has been supported by zero fact.,0.0
4265.json,0,Two elections in a row (Waukesha County Clerk Kathy Nickolaus) has screwed up counting the vote,0.0
6053.json,0,Says Barack Obama is a socialist.,0.0
12852.json,0,"We have a fire marshal that said, Oh we cant allow more people ... And the reason they wont let them in is because they dont know what the hell theyre doing.",0.0
1004.json,0,"When one person sneezes, it goes all the way through the aircraft.",0.0
4748.json,0,"If [Atlanta Mayor Kasim Reed] wants to be like Bull Connor, then so be it.",0.0
2118.json,0,"Karen Handel would have felt like it was OK to go in and abort Sarah Palins son Trig, who has Down syndrome.",0.0
411.json,0,I remember landing under sniper fire.,0.0
4274.json,0,Were inches away from no longer having a free economy.,0.0
12326.json,0,"Frankly, (Hillary Clinton) doesnt do very well with women.",0.0
2150.json,0,Nobodys invited us to the Obama events in Atlanta.,0.0
3187.json,0,Foreign Trade Zones allow U.S. land to be inhabited by Chinese communists -- communists straight from China! They are to set up little towns and live here.,0.0
9380.json,0,Solar panels drain the suns energy.,0.0
265.json,0,I don't describe your plan as amnesty in my ad. I don't call it amnesty.,0.0
8669.json,0,"By the word religion in the First Amendment, the founders meant Christianity.",0.0
13442.json,0,"Says that at a campaign rally President Barack Obama spent so much time screaming at a protester, and frankly it was a disgrace.",0.0
4903.json,0,Sen. Sherrod Brown has chosen to side with Washington bureaucrats and fringe extremists in the attacks on our natural resources.,0.0
11001.json,0,The Civil War wasnt about slavery.,0.0
12576.json,0,"We dont know anything about Hillary in terms of religion. Now, shes been in the public eye for years and years, and yet theres no theres nothing out there.",0.0
12708.json,0,Says President Barack Obama is absolutely a Muslim.,0.0
3230.json,0,"The people that went to school with (Barack Obama), they never saw him, they dont know who he is.",0.0
3799.json,0,Says his barehanded catch posted on YouTube is real.,0.0
10236.json,0,Austin mayoral candidate Steve Adler has never been active in anything that has to do with City Hall.,0.0
10337.json,0,Says President Barack Obama has said that everybody should hate the police.,0.0
6843.json,0,I never supported a state income tax for Texas.,0.0
10436.json,0,You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,0.0
12516.json,0,"Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.",0.0
10486.json,0,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.,0.0
10506.json,0,"On climate change, the temperature readings have been fabricated, and its all blowing up in their (scientists) faces.",0.0
8322.json,0,Warren Buffett says stop Obamacare now and start over.,0.0
410.json,0,"Obama says America is great, but let's ""try to change it.""",0.0
11235.json,0,Planned Parenthood is not actually doing womens health issues.,0.0
9076.json,0,Reporters rehearse questions with White House press (secretary).,0.0
8942.json,0,A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,0.0
8717.json,0,Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America.,0.0
7724.json,0,Science has not shown greenhouse gases to be a problem.,0.0
9705.json,0,Mitt Romney did not run his campaign on the basis of arguing his experience in the business world was a reason to vote for him.,0.0
7235.json,0,Our numbers are going up at the airport.,0.0
3708.json,0,Benzene has never been proven to be harmful.,0.0
19.json,0,The president is brain-dead.,0.0
1318.json,0,"In the health care bill, were now offering insurance for dogs.",0.0
11269.json,0,Denali is the Kenyan word for black power.,0.0
12398.json,0,"Says Donald Trump said of women, And you can tell them to go f--- themselves.",0.0
2690.json,0,"The Taliban has been there for years and years, I mean, hundreds of thousands of years.",0.0
9683.json,0,Im not a conspiracy theorist and I never allow conspiracy theorists on my program.,0.0
10097.json,0,Elorza wants to teach our public school children about the non-existence of God.,0.0
10282.json,0,"Fluoride in the water, that was originally done by the Nazis!",0.0
817.json,0,Barack Obama thinks terrorists just need a good talking to.,0.0
2616.json,0,We havent yet taken out a negative ad.,0.0
2494.json,0,Says the Feingold garage ad is a fake: Hes not standing in front of his house.,0.0
5095.json,0,Says President Barack Obama is a socialist.,0.0
631.json,0,"Barack Obama ""rejects everyone white, including his mother and his grandparents.""",0.0
9351.json,0,A company hired to do Common Core testing in Florida will attract every one of your children to become as homosexual as they possibly can.,0.0
