sentence_id,Verdict,Text,reasoning,MISTRAL_7B_INSTRUCT standard zeroshot_prediction,MISTRAL_7B_INSTRUCT standard fewshot_prediction,MIXTRAL_INSTRUCT standard zeroshot_prediction,MIXTRAL_INSTRUCT standard fewshot_prediction,MISTRAL_7B_INSTRUCT LORA_prediction
15251,0,"To repeat myself, we have this year the opportunity, which we'll realize, to produce 800 million tons of coal - an unequaled record in the history of our country."," {""score"": 50, ""reasoning"": ""The claim contains a factual statement about the potential coal production record in the given year. However, it is not possible to verify the exact production figures with publicly available information, as the sentence only states that it will be an ""unequaled record."" Additionally",1.0,1.0,1.0,1.0,1.0
9275,0,"The administration brought a criminal action against the people drilling up there for oil, this massive new resource we have."," {""score"": 70, ""reasoning"": ""The sentence contains a factual claim about the administration bringing a criminal action against people drilling for oil. However, the claim about this being a'massive new resource' is subjective and may not be easily verifiable using publicly available information. Therefore,",1.0,1.0,1.0,1.0,1.0
27769,0,"That's why on day one, i will label them a currency manipulator, which allows us to apply tariffs where they're taking jobs."," {""score"": 50, ""reasoning"": ""This sentence contains a claim that on day one of a hypothetical presidency, the speaker will label certain countries as currency manipulators, which would allow the application of tariffs. The claim is factual in that it refers to specific actions that",1.0,1.0,1.0,1.0,1.0
20581,0,There's now a general strike going on.," {""score"": 50, ""reasoning"": ""This statement could be check-worthy if it can be verified that a general strike is indeed taking place. However, without additional information such as the location, date, and participating organizations, it is difficult to determine the veracity of this claim using publicly available information",1.0,1.0,1.0,1.0,1.0
10769,0,Small businesses across America will have to cut jobs and will have their taxes increase and won't be able to hire because of Senator Obama's tax policies.," {""score"": 60, ""reasoning"": ""This sentence makes a factual claim about Senator Obama's tax policies and their potential impact on small businesses by suggesting that they may have to cut jobs and face increased taxes. However, the claim is not fully check-worthy as it is a prediction about future",1.0,1.0,1.0,1.0,1.0
9603,0,"And that's an example of the kind of advocacy that we need, because women are increasingly the breadwinners in the family."," {""score"": 50, ""reasoning"": ""The sentence contains a factual claim about women being increasingly the breadwinners in families. However, the claim requires additional context and specific data to be considered fully factual and check-worthy. Without this information, it is difficult to verify the claim using publicly",1.0,1.0,1.0,1.0,1.0
6543,0,We're going to let everybody buy into the same health-care plan senators and congressmen give themselves.," {""score"": 70, ""reasoning"": ""This sentence contains a factual claim about allowing everybody to buy into the same health-care plan as senators and congressmen. However, the specific details about the existence and terms of this plan are not mentioned, and it may vary depending on political and legisl",1.0,1.0,1.0,1.0,1.0
24957,0,And what about the mining of the harbors in Nicaragua which violated international law?," {""score"": 70, ""reasoning"": ""The sentence contains a claim that Nicaraguan harbor mining violated international law. This is a factual claim that is salient to the general public as it involves potential breaches of international law and potential geopolitical consequences. However, the",1.0,1.0,1.0,1.0,1.0
19756,0,Prime Minister Rabin gave his life because someone in his own country literally hated him for trying to bring peace.," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim about Prime Minister Rabin being assassinated. However, the claim about someone in his own country hating him for trying to bring peace is an inference and not a verifiable fact. While it is widely known that Rab",1.0,1.0,1.0,1.0,1.0
23235,0,"I am -- I have a proposal for a tax cut for all people earning less than the $200,000."," {""score"": 80, ""reasoning"": ""The sentence contains a factual claim about a tax proposal and the income threshold, which is salient to the general public.""}",1.0,1.0,1.0,1.0,1.0
723,0,Every single one of the Joint Chiefs will testify to the fact that readiness is in an historic high.," {""score"": 50, ""reasoning"": ""This sentence contains a claim about the current level of military readiness as being at an historic high. While this claim may be factual, it would be difficult to verify it definitively using publicly available information, as readiness can be measured in various ways and",1.0,1.0,1.0,1.0,1.0
15791,0,"I can think of doctors and scientists, Jonas Salk who for example discovered a vaccine which cured one of the most dread diseases we ever had."," {""score"": 100, ""reasoning"": ""Jonas Salk is a well-known historical figure who is credited with discovering the polio vaccine, making this a factual and salient claim.""}",1.0,1.0,1.0,1.0,1.0
3456,0,"We're talking about failures on Main Street, and people who will lose their jobs, and their credits, and their homes, if we don't fix the greatest fiscal crisis, probably in -- certainly in our time, and I've been around a little while."," {""score"": 95, ""reasoning"": ""The sentence contains factual claims about potential job losses, loss of credits, and loss of homes due to a fiscal crisis. These claims are salient to the general public and can be verified through publicly available information from reliable sources.""}",1.0,1.0,1.0,1.0,1.0
16833,0,"The average working person can't - uh - can't take advantage of that, but the - the wealthier people - uh can."," {""score"": 50, ""reasoning"": ""This sentence contains a claim about the ability of 'the average working person' and 'the wealthier people' to take advantage of an unspecified situation. However, without clear and publicly available data or context, it is difficult to determine the factual accuracy",1.0,1.0,1.0,1.0,1.0
22971,0,"When you get on an airplane, your bag is X- rayed, but the cargo hold isn't X-rayed."," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim that when you get on an airplane, your bag is X-rayed. However, the claim that the cargo hold isn't X-rayed is more complex and may require additional verification. While there have been reports and",1.0,1.0,1.0,1.0,1.0
29395,0,"What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy."," {""score"": 70, ""reasoning"": ""This sentence contains a factual claim about economic gains being made by the wealthy and the proposal to raise taxes on them to pay for something. However, it requires additional context and specificity to determine the accuracy of the claim, such as the identity of 'what",1.0,1.0,1.0,1.0,1.0
16919,0,This year Mr. Ford will not pass more than 26 percent of all the legislative proposals he puts forward.," {""score"": 80, ""reasoning"": ""This sentence contains a factual claim that is quantifiable and relates to political activity, which is salient to the general public. However, to determine the exact percentage of legislative proposals Mr. Ford has passed this year, publicly available information would be needed",1.0,1.0,1.0,1.0,1.0
