tweet_id,check_worthiness,score,tweet_text,reasoning
1236973525866602496,1,10.0,"Democrats say Trump has failed the US economy and yet, we have the best economy in the world. They say he has failed in his COVID-19 response, and yet, we have the lowest infections per million in the world. They call winning losing and losing winning.","The sentence contains multiple claims that cannot be verified with a single source. The first claim about having the best economy in the world is subjective and depends on the definition of 'best'. The second claim about having the lowest infections per million in the world can be checked, but it requires multiple sources to confirm. The third claim about Democrats calling winning losing and losing winning is an opinion and does not require fact-checking."
1237235176452706304,1,0.0,"We don’t yet have all the tools we need to fight COVID-19. This is an important step toward having treatments, while we also explore vaccines and diagnostics. Thanks to @wellcometrust and @mastercard for launching this effort with us. https://t.co/M8AJ3083zK","The tweet does not contain any verifiable factual claim. It is an expression of gratitude and an announcement of a partnership between three organizations to fight COVID-19. There is no quantifiable information, no mention of laws, procedures, or rules, and no correlation or causation stated in the tweet."
1237403097284001794,1,0.0,"#Corona update: a good news for Our state, the Pt undergoing treatment at #RGGH is tested negative for Corona,this speedy recovery is possible only because of the meticulous treatment &amp; expertise of #TNHealth to handle exigencies. As of now, #TN is CORONA FREE. #CVB @MoHFW_INDIA","The tweet is not check-worthy as it is an opinion and a statement of a positive outcome, which is not verifiable. The claim of TN being Corona-free is not verifiable as it is based on the tweet's author's opinion and there is no official confirmation from the health department or any reliable source."
1237269456319021056,1,20.0,"Quite something to hear UK broadcasters describing the Lombardy crisis as so dire that patients are being treated in hospital corridors. This, of course, is an NHS norm - irrespective of #COVID19. The inevitable consequence of a decade of deliberate underfunding. And so wrong 😔","The statement that 'this is an NHS norm' is a subjective opinion and not a verifiable fact. While it is true that the NHS has faced underfunding in recent years, the claim that 'patients are being treated in hospital corridors' is a common occurrence during times of high demand and is not necessarily a result of underfunding alone. Therefore, the statement as a whole does not meet the criteria for check-worthiness."
1236700488172810240,1,20.0,"After months of spreading, COVID-19 has killed 3,663 people, the majority of whom have been very old with pre-existing conditions. There are many worse diseases killing many more every day that we just ""co-exist with"" and accept. WHY must we shut down the planet over THIS one?","The sentence contains a verifiable factual claim about the number of deaths caused by COVID-19. However, the claim is not check-worthy because it does not require fact-checking as the information is widely available and the claim is not likely to be false. The sentence also includes an opinionated statement about the importance of COVID-19 compared to other diseases, which is not factual and does not require fact-checking."
1236837748167843840,1,0.0,"Now that republicans have decided that Covid-19 isn’t a hoax because some of them are getting it, they’ve decided to try to blame the disease on the Chinese who have suffered horribly.",This sentence is not check-worthy as it is an opinion and does not contain a verifiable factual claim.
1237387357759754240,1,1.0,"/translation/ ""Doc, what to do to avoid Corona?"" ""Doc, what can we do, we're living in squatters area, we don't have water sometimes, the house is cramped, and also, we can't have a proper meal to eat."" This is the reality. #nCoV19 is still a class issue. https://t.co/mr0ioEumc7","This sentence contains multiple claims, so I will evaluate each claim separately and provide a score for the entire sentence based on the highest-scoring claim.Claim 1: ""Doc, what to do to avoid Corona?""This claim is check-worthy as it contains a verifiable factual claim about preventing the spread of COVID-19. The Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO) have provided guidelines on how to prevent the spread of COVID-19, which can be fact-checked.Score: 100, Reasoning: The claim is check-worthy as it contains a verifiable factual claim about preventing the spread of COVID-19.Claim 2: ""we don't have water sometimes""This claim is check-worthy as it contains a verifiable factual claim about a lack of access to water. The United Nations reports that over 2 billion people worldwide lack access to safe water, and this is a significant issue in many parts of the world.Score: 100, Reasoning: The claim is check-worthy as it contains a verifiable factual claim about a lack"
1237192137751449600,1,0.0,"Hanbin worked with the same business group that helped him to get masks for COVID-19 to volunteer at a children's center last year, where they held Christmas parties and he dressed up as Santa.. (im not crying)",This sentence does not contain a verifiable factual claim. It is a personal narrative and does not make a statement that can be fact-checked.
1237405948085501953,1,0.0,"Trump's ex-homeland security adviser is pleading publicly for more urgent govt action, calling covid-19 a ""fire that threatens to burn out of control"" and overwhelm US hospitals in 10 days VP Pence just opened WH meeting w/health insurance companies by praising Trump's response",The sentence does not contain a verifiable factual claim. It only expresses opinions and interpretations of the actions of Trump's ex-homeland security adviser and VP Pence.
1237094706477174784,1,20.0,"Breaking: Congress prepares to shutter Capitol Hill for coronavirus, opens telework center https://t.co/dShkLVPmFO","This tweet is likely to be true as it is coming from a reputable source, Congress, and the tweet is about a measure that is being taken in response to a global pandemic. However, the tweet does not contain any specific verifiable factual claim that can be checked. Therefore, the score is relatively low."
1240676575168921600,1,0.0,"So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong. I want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...","This tweet is not check-worthy because it is a personal narrative and does not contain a verifiable factual claim. It is not a statement of fact, but rather an expression of the author's experience and opinion. Therefore, it does not meet the criteria for check-worthiness."
1242476408896507910,1,0.0,"My fellow citizens, THERE IS ABSOLUTELY NO NEED TO PANIC. Essential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this. Together, we will fight COVID-19 and create a healthier India. Jai Hind!","The sentence does not contain any verifiable factual claim. It is a statement of reassurance and encouragement, and does not provide any specific information that can be fact-checked."
1240722087381262337,1,0.0,ICE pretended to be doctors. There are no fucking words. Please donate if you can,The tweet does not contain a verifiable factual claim and is an expression of emotion.
1242228808264155138,1,0.0,".@realdonaldtrump just said: “if it were up to the doctors, they'd shut down the entire world.” Actually, if it were up to us, we'd save as many people as possible. We would follow the science &amp; evidence. We would never put politics ahead of the public's health #covid19","This tweet is not check-worthy because it is not a factual claim. It is an expression of opinion and intent, and it does not contain a verifiable factual claim."
1242143473710448640,1,0.0,"Never Forget.. When India was fighting Corona, pigs like @vinodkapri were sharing Fake News to Create Panic for Congress Propaganda. There's no shortage of PPEs. Assam Medical college students were testing PPEs as what can be used if shortage occurs. https://t.co/GhmJbBoTxk","The tweet is not check-worthy as it is an opinion and does not contain a verifiable factual claim. It is an accusation against a specific person and does not provide any evidence to support the claim that the person shared fake news for Congress propaganda. The tweet also mentions that there is no shortage of PPEs, which is a statement of fact, but it is not clear if this is a verifiable claim or not. The link provided in the tweet does not seem to contain any factual information that could be checked."
1242397688961753088,1,0.0,"If U love humanity, then pl stop forwarding any fake msg abt #Hantavirus to avoid panic, when we already hv enough to fight wid #Coronavirus. Hanta Virus spreads only from an infected animal's urine,faeces or saliva. Pl educate yourself &amp; RT for others to understand. #NoFakeNews https://t.co/VinNLLq89y","The tweet is not check-worthy as it contains no verifiable factual claim. It is a call to action to stop forwarding fake messages about Hantavirus and to educate oneself and RT for others to understand. The tweet does not provide any new information about Hantavirus or its transmission, and it does not contain any false information. The tweet is simply encouraging people to be responsible and not spread false information. Therefore, there is no need for a fact-checker to verify the claim in the tweet."
1242226084504129537,1,0.0,"Trump says “we were early” on #coronavirus. 2/26 “The 15 (people) within a couple of days is going to be down to close to 0” 2/28 “One day, it’s like a miracle, it will disappear” 2/28 “This is their new hoax” 3/12 “It’s going to go away” Yup. We were early","The sentence contains multiple claims, some of which are predictions about the future. However, the tweets mentioned in the sentence have already been fact-checked and found to be false or misleading. Therefore, there is no need for a new fact-check as the information is already known to be false. Additionally, the sentence itself is not a verifiable factual claim, but rather an opinion statement by Trump. Thus, it is not check-worthy."
1235760802851778560,1,0.0,Korea: giving free test kit for covid-19  PH: we on tiktok!!! 🥰,"This tweet does not contain a verifiable factual claim. It is a statement of action by two different countries and an expression of emotion. There is no claim about the number of test kits, their availability, or their distribution that can be verified. Therefore, it is not check-worthy."
1235407182168023040,1,0.0,"Kerala is the only state in India which successfully stopped 3 deadly virus, Corona, Nipah and BJP.","This statement is not check-worthy as it contains a clear error and is not factual. The statement claims that Kerala is the only state in India that successfully stopped three deadly viruses, Corona, Nipah, and BJP. However, BJP is not a virus, it is a political party. Therefore, the statement is not factual and is not check-worthy."
1235967176475111432,1,0.0,President Trump's comments about the coronavirus death rate were 100% correct.  The media falsely claimed he was spreading misinformation. They falsely reported that his comments weren't in line with top health officials.  That was 100% fake news.,"The sentence contains an absolute claim about the correctness of President Trump's comments on the coronavirus death rate and the media's reporting on it. Without access to the specific comments and reports in question, it is impossible to verify the claim. Therefore, the sentence is not check-worthy."
1235949483038474240,1,0.0,#CoronavirusInSA Who? Corona? No no no that One fake From China https://t.co/u0thoVpArn,"The tweet does not contain a verifiable factual claim. It is a statement about a tweet that is being linked to, and it does not provide any information about the content of the linked tweet. Therefore, it is not check-worthy."
1235984794741338112,1,0.0,.@MobilePunch called out by @BBCNews for #coronavirus misinformation 🤣🤣🤣🤣🤣  #FakeNewsMedia #FakeNews https://t.co/cCvUIvE1ty,"The tweet does not contain a verifiable factual claim. It is an expression of opinion and sarcasm, and it does not provide any specific information that can be fact-checked. The use of the hashtags #FakeNewsMedia and #FakeNews does not necessarily mean that the tweet contains false information. It is a common rhetorical device used to criticize the media. Therefore, there is no need for fact-checking in this case."
1358119265774280709,1,0.0,#COVID19 vaccines are safe for people living with HIV! Find out about COVID-19 vaccines and HIV here 👇🏾,"The sentence does not contain a verifiable factual claim. It is an encouragement to find out about the safety of COVID-19 vaccines for people living with HIV. Therefore, it is not check-worthy."
